alarm_id,incident_description,network_region,technology_type,severity,outage_duration,device_vendor,resolution_notes,timestamp,service_impact,alarm_type,affected_subscribers,resolution_time_minutes,recurrence_count
ALM-2023-00095,Power supply unit failure in West outdoor macro cell cabinet. Generator backup activated but fuel exhaustion after 31 hours caused site blackout. 12 collocated operators affected. TSSR dispatched for emergency repair.,West,SD-WAN,P3-Medium,117,Juniper,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2023-01-01T01:09:14,Video Streaming,Link Down,62782,243,1
ALM-2024-00352,N2/N3 interface congestion between Central gNBs and AMF cluster. 33 sites showing SCTP association failures. Emergency handover to 4G-LTE fallback activated. Traffic load balancing misconfiguration identified as probable cause.,North,SD-WAN,P2-High,152,Juniper,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-01-07T01:23:22,"Roaming Services, SMS",Authentication Failure,142424,377,1
ALM-2023-00073,PTP/IEEE-1588 grandmaster clock failure in West synchronization hierarchy. Holdover mode activated on 23 slave clocks. Phase error accumulating at 58 ns/s. 5G NR TDD frame alignment at risk after 363 minutes without reference.,East,SD-WAN,P4-Low,44,Cisco,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-01-12T09:41:57,"Video Streaming, Enterprise VPN",Sync Loss,6864,109,2
ALM-2025-00404,Massive MIMO antenna tilt misconfiguration on 8 sector sites in West. SINR degraded by 11 dB causing uplink interference. Capacity reduced by 38% during peak hours. Service degradation reported by enterprise customers using mmWave bands.,South,MPLS,P3-Medium,95,Nokia,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 10 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 187 minutes.,2023-01-13T13:00:41,"SMS, Video Streaming",Capacity Overload,36516,213,5
ALM-2025-00413,Segment routing MPLS path computation failure in South SR-TE domain. PCE-server connectivity lost due to TLS certificate expiry. 10 critical traffic classes losing QoS guarantees. Enterprise SLA breached.,North,4G-LTE,P1-Critical,49,Cisco,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2023-01-14T16:59:23,"IoT Connectivity, VoLTE",Power Failure,35745,64,5
ALM-2023-00038,23 gNB nodes in Central region reporting X2 interface failures after firmware upgrade to 22.Q2. UE attach success rate dropped from 98% to 79%. Engineers observed increased RRC connection rejections. Root cause identified as misconfigured AMF pool configuration post-upgrade.,Central,4G-LTE,P2-High,79,Nokia,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-01-14T23:00:03,"SMS, Enterprise VPN",Transport Failure,7828,210,1
ALM-2024-00399,Core network signaling storm from 31 IoT devices in North entering simultaneous TAU cycles. MME/AMF overloaded causing 71% attach rejection rate. Emergency rate limiting applied to prevent total core collapse.,South,4G-LTE,P3-Medium,93,Nokia,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-01-17T08:37:35,"SMS, Data Sessions, VoLTE",Transport Failure,81491,158,8
ALM-2024-00356,Uplink PRB utilization exceeding 90% on 31 cells in East during peak traffic. Scheduler fairness degraded for edge UEs. Average throughput dropped 42%. Emergency capacity expansion through spectrum refarming initiated.,South,MPLS,P1-Critical,157,Ericsson,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 11 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 136 minutes.,2023-01-18T07:26:09,"Data Sessions, VoLTE, Voice Calls",Link Down,31009,467,3
ALM-2023-00182,Fiber cut on backbone ring between North hub and metro aggregation node. APS (Automatic Protection Switching) triggered but secondary path showing 459ms additional latency. 31 enterprise circuits and 111918 mobile subscribers affected on dependent transport.,North,4G-LTE,P3-Medium,79,Ericsson,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 5 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 42 minutes.,2023-01-19T11:36:23,"Video Streaming, Enterprise VPN",Software Bug,93077,129,5
ALM-2023-00034,N2/N3 interface congestion between Central gNBs and AMF cluster. 31 sites showing SCTP association failures. Emergency handover to 4G-LTE fallback activated. Traffic load balancing misconfiguration identified as probable cause.,North,SD-WAN,P2-High,175,Ericsson,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-01-24T10:06:38,"Voice Calls, Video Streaming, Data Sessions",Capacity Overload,144077,276,7
